Tipo Molecular,Expressao,Tipo.Tecido
HER2,0.665,Tumor
HER2,0.661,Tumor
HER2,0.66,Tumor
Luminal A ,0.661,Tumor
Luminal A ,0.661,Tumor
Luminal A ,0.629,Tumor
Luminal A ,0.628,Tumor
Luminal A ,0.628,Tumor
Luminal A ,0.646,Tumor
Luminal A ,0.646,Tumor
Luminal A ,0.646,Tumor
Luminal A ,0.646,Tumor
Luminal A ,0.684,Tumor
Luminal A ,0.685,Tumor
Luminal A ,0.684,Tumor
Luminal A ,0.623,Tumor
Luminal A ,0.705,Tumor
Luminal A ,0.703,Tumor
Luminal A ,0.705,Tumor
Luminal A ,0.701,Tumor
Luminal A ,0.7,Tumor
Luminal B,0.701,Tumor
Luminal B,0.7,Tumor
Luminal B,0.665,Tumor
Luminal B,0.665,Tumor
Luminal B,0.665,Tumor
Luminal B,0.665,Tumor
Luminal B,0.665,Tumor
Luminal B,0.665,Tumor
Luminal B,0.665,Tumor
Luminal B,0.665,Tumor
Luminal B,0.665,Tumor
Luminal B,0.663,Tumor
Luminal B,0.664,Tumor
Luminal B,0.668,Tumor
Luminal B,0.662,Tumor
Luminal B,0.665,Tumor
Luminal B,0.664,Tumor
Luminal B,0.664,Tumor
Luminal B,0.664,Tumor
Luminal B,0.664,Tumor
Luminal B,0.664,Tumor
Luminal B,0.665,Tumor
Luminal B,0.664,Tumor
Luminal B,0.564,Tumor
Luminal B,0.564,Tumor
Luminal B,0.564,Tumor
Luminal B,0.564,Tumor
Luminal B,0.56,Tumor
Luminal B,0.561,Tumor
Luminal B,0.561,Tumor
Luminal B,0.56,Tumor
Luminal B,0.562,Tumor
Luminal B,0.56,Tumor
Luminal B,0.503,Tumor
Luminal B,0.503,Tumor
Luminal B,0.527,Tumor
Luminal B,0.527,Tumor
Luminal B ,0.526,Tumor
Luminal B ,0.526,Tumor
Luminal B HER2,0.626,Tumor
Luminal B HER2,0.683,Tumor
Luminal B HER2,0.683,Tumor
Luminal B HER2,0.683,Tumor
Luminal B HER2,0.603,Tumor
Luminal B HER2,0.665,Tumor
Luminal B HER2,0.666,Tumor
Luminal B HER2,0.665,Tumor
Luminal B HER2,0.665,Tumor
Luminal B HER2,0.665,Tumor
Luminal B HER2,0.666,Tumor
Luminal B HER2,0.666,Tumor
Luminal B HER2,0.669,Tumor
Luminal B HER2,0.665,Tumor
Luminal B HER2,0.665,Tumor
Luminal B HER2,0.665,Tumor
Luminal B HER2,0.668,Tumor
Luminal B HER2,0.662,Tumor
Luminal B HER2,0.666,Tumor
Luminal B HER2,0.667,Tumor
Luminal B HER2,0.667,Tumor
Luminal B HER2,0.667,Tumor
Luminal B HER2,0.667,Tumor
Luminal B HER2,0.688,Tumor
Luminal B HER2,0.688,Tumor
Luminal B HER2,0.688,Tumor
Luminal B HER2,0.688,Tumor
Luminal B HER2,0.717,Tumor
Luminal B HER2,0.717,Tumor
Luminal B HER2,0.717,Tumor
Luminal B HER2,0.67,Tumor
Luminal B HER2,0.67,Tumor
Luminal B HER2,0.67,Tumor
Luminal B HER2,0.67,Tumor
Luminal B HER2,0.669,Tumor
Luminal B HER2,0.665,Tumor
Luminal B HER2,0.665,Tumor
Luminal B HER2,0.665,Tumor
Luminal B HER2,0.665,Tumor
Luminal B HER2,0.666,Tumor
Luminal B HER2,0.666,Tumor
Luminal B HER2,0.668,Tumor
Luminal B HER2,0.668,Tumor
Luminal B HER2,0.668,Tumor
Luminal B HER2,0.668,Tumor
Triplo Negativo,0.665,Tumor
Triplo Negativo,0.665,Tumor
Triplo Negativo,0.665,Tumor
Triplo Negativo,0.665,Tumor
Triplo Negativo,0.665,Tumor
Triplo Negativo,0.665,Tumor
Triplo Negativo,0.665,Tumor
Triplo Negativo,0.668,Tumor
Triplo Negativo,0.668,Tumor
Triplo Negativo,0.668,Tumor
Triplo Negativo,0.663,Tumor
Triplo Negativo,0.67,Tumor
Triplo Negativo,0.67,Tumor
Triplo Negativo,0.67,Tumor
Triplo Negativo,0.669,Tumor
Triplo Negativo,0.669,Tumor
Triplo Negativo,0.669,Tumor
Triplo Negativo,0.669,Tumor
Triplo Negativo,0.67,Tumor
Triplo Negativo,0.669,Tumor
Triplo Negativo,0.979,Tumor
Triplo Negativo,0.976,Tumor
Triplo Negativo,0.976,Tumor
Triplo Negativo,0.976,Tumor
Triplo Negativo,0.788,Tumor
Triplo Negativo,0.93,Tumor
Triplo Negativo,0.978,Tumor
Triplo Negativo,0.979,Tumor
Triplo Negativo,0.979,Tumor
Triplo Negativo,0.979,Tumor
Triplo Negativo,0.979,Tumor
Triplo Negativo,0.975,Tumor
Triplo Negativo,0.975,Tumor
Triplo Negativo,0.975,Tumor
Triplo Negativo,0.975,Tumor
Triplo Negativo,0.98,Tumor
Triplo Negativo,0.98,Tumor
Triplo Negativo,0.98,Tumor
Triplo Negativo,0.971,Tumor
Triplo Negativo,0.971,Tumor
Triplo Negativo,0.978,Tumor
Triplo Negativo,0.978,Tumor
Triplo Negativo,0.978,Tumor
Triplo Negativo,0.978,Tumor
Triplo Negativo,0.978,Tumor
Triplo Negativo,0.978,Tumor
Triplo Negativo,0.978,Tumor
Triplo Negativo,0.975,Tumor
Triplo Negativo,0.975,Tumor
Triplo Negativo,1.016,Tumor
Triplo Negativo,1.015,Tumor
Triplo Negativo,1.016,Tumor
Triplo Negativo,1.016,Tumor
Triplo Negativo,0.967,Tumor
Triplo Negativo,0.966,Tumor
Triplo Negativo,0.966,Tumor
Triplo Negativo,0.993,Tumor
Triplo Negativo,0.993,Tumor
Triplo Negativo,0.994,Tumor
Triplo Negativo,0.994,Tumor
Triplo Negativo,1.052,Tumor
Triplo Negativo,1.053,Tumor
Triplo Negativo,1.051,Tumor
