Tipo Molecular,Expressao,Tipo.Tecido
HER2,0.809,Plasma
HER2,0.789,Plasma
HER2,0.779,Plasma
HER2,0.779,Plasma
HER2,0.777,Plasma
HER2,0.771,Plasma
HER2,0.756,Plasma
HER2,0.774,Plasma
HER2,0.744,Plasma
HER2,0.771,Plasma
HER2,0.814,Plasma
HER2,0.814,Plasma
HER2,0.818,Plasma
HER2,0.877,Plasma
HER2,0.856,Plasma
HER2,0.814,Plasma
HER2,0.82,Plasma
HER2,0.822,Plasma
HER2,0.82,Plasma
HER2,0.778,Plasma
HER2,0.777,Plasma
HER2,0.774,Plasma
HER2,0.779,Plasma
HER2,0.776,Plasma
HER2,0.775,Plasma
HER2,0.778,Plasma
HER2,0.75,Plasma
HER2,0.74,Plasma
HER2,0.773,Plasma
HER2,0.719,Plasma
HER2,0.779,Plasma
Luminal A ,0.787,Plasma
Luminal A ,0.78,Plasma
Luminal A ,0.8,Plasma
Luminal A ,0.788,Plasma
Luminal A ,0.771,Plasma
Luminal A ,0.754,Plasma
Luminal A ,0.764,Plasma
Luminal A ,0.744,Plasma
Luminal A ,0.775,Plasma
Luminal A ,0.771,Plasma
Luminal A ,0.771,Plasma
Luminal A ,0.771,Plasma
Luminal A ,0.778,Plasma
Luminal A ,0.777,Plasma
Luminal A ,0.777,Plasma
Luminal A ,0.979,Plasma
Luminal A ,0.976,Plasma
Luminal A ,0.976,Plasma
Luminal B,0.976,Plasma
Luminal B,0.788,Plasma
Luminal B,0.93,Plasma
Luminal B,0.978,Plasma
Luminal B,0.979,Plasma
Luminal B,0.979,Plasma
Luminal B,0.979,Plasma
Luminal B,0.979,Plasma
Luminal B,0.975,Plasma
Luminal B,0.975,Plasma
Luminal B,0.975,Plasma
Luminal B,0.975,Plasma
Luminal B,0.98,Plasma
Luminal B,0.98,Plasma
Luminal B,0.98,Plasma
Luminal B,0.971,Plasma
Luminal B,0.971,Plasma
Luminal B,0.978,Plasma
Luminal B,0.978,Plasma
Luminal B,0.978,Plasma
Luminal B,0.978,Plasma
Luminal B,0.978,Plasma
Luminal B,0.978,Plasma
Luminal B,0.979,Plasma
Luminal B,0.975,Plasma
Luminal B,0.975,Plasma
Luminal B,1.016,Plasma
Luminal B,1.015,Plasma
Luminal B,1.016,Plasma
Luminal B,1.016,Plasma
Luminal B,0.967,Plasma
Luminal B,0.966,Plasma
Luminal B,0.966,Plasma
Luminal B,0.993,Plasma
Luminal B,0.993,Plasma
Luminal B,0.994,Plasma
Luminal B,0.994,Plasma
Luminal B ,1.052,Plasma
Luminal B ,1.053,Plasma
Luminal B HER2,1.051,Plasma
Luminal B HER2,0.958,Plasma
Luminal B HER2,0.98,Plasma
Luminal B HER2,0.979,Plasma
Luminal B HER2,0.98,Plasma
Luminal B HER2,0.979,Plasma
Luminal B HER2,0.979,Plasma
Luminal B HER2,0.979,Plasma
Luminal B HER2,0.979,Plasma
Luminal B HER2,0.978,Plasma
Luminal B HER2,0.978,Plasma
Luminal B HER2,0.98,Plasma
Luminal B HER2,0.979,Plasma
Luminal B HER2,0.978,Plasma
Luminal B HER2,0.979,Plasma
Luminal B HER2,0.988,Plasma
Luminal B HER2,0.978,Plasma
Luminal B HER2,0.981,Plasma
Luminal B HER2,0.943,Plasma
Luminal B HER2,0.97,Plasma
Luminal B HER2,0.977,Plasma
Luminal B HER2,0.976,Plasma
Luminal B HER2,0.971,Plasma
Luminal B HER2,0.98,Plasma
Luminal B HER2,0.98,Plasma
Luminal B HER2,0.98,Plasma
Luminal B HER2,0.98,Plasma
Luminal B HER2,0.98,Plasma
Luminal B HER2,0.801,Plasma
Luminal B HER2,0.98,Plasma
Luminal B HER2,0.792,Plasma
Luminal B HER2,0.793,Plasma
Luminal B HER2,0.795,Plasma
Luminal B HER2,0.795,Plasma
Luminal B HER2,0.904,Plasma
Luminal B HER2,0.919,Plasma
Luminal B HER2,0.912,Plasma
Luminal B HER2,0.905,Plasma
Luminal B HER2,0.924,Plasma
Luminal B HER2,0.903,Plasma
Luminal B HER2,0.904,Plasma
Luminal B HER2,0.905,Plasma
Luminal B HER2,0.941,Plasma
Luminal B HER2,0.941,Plasma
Luminal B HER2,0.938,Plasma
Triplo Negativo,0.939,Plasma
Triplo Negativo,0.939,Plasma
Triplo Negativo,1.024,Plasma
Triplo Negativo,1.024,Plasma
Triplo Negativo,1.025,Plasma
Triplo Negativo,0.904,Plasma
Triplo Negativo,0.974,Plasma
Triplo Negativo,0.975,Plasma
Triplo Negativo,0.974,Plasma
Triplo Negativo,0.974,Plasma
Triplo Negativo,0.974,Plasma
Triplo Negativo,0.975,Plasma
Triplo Negativo,0.977,Plasma
Triplo Negativo,0.936,Plasma
Triplo Negativo,0.972,Plasma
Triplo Negativo,0.976,Plasma
Triplo Negativo,0.972,Plasma
Triplo Negativo,0.974,Plasma
Triplo Negativo,0.972,Plasma
Triplo Negativo,0.978,Plasma
Triplo Negativo,0.935,Plasma
Triplo Negativo,0.986,Plasma
Triplo Negativo,0.935,Plasma
Triplo Negativo,0.927,Plasma
Triplo Negativo,0.998,Plasma
Triplo Negativo,0.91,Plasma
Triplo Negativo,0.972,Plasma
Triplo Negativo,0.945,Plasma
Triplo Negativo,0.927,Plasma
Triplo Negativo,0.998,Plasma
Triplo Negativo,0.921,Plasma
Triplo Negativo,0.998,Plasma
Triplo Negativo,0.918,Plasma
Triplo Negativo,0.945,Plasma
Triplo Negativo,0.945,Plasma
Triplo Negativo,0.98,Plasma
Triplo Negativo,0.982,Plasma
Triplo Negativo,0.9,Plasma
Triplo Negativo,0.962,Plasma
Triplo Negativo,0.988,Plasma
Triplo Negativo,0.965,Plasma
Triplo Negativo,0.964,Plasma
Triplo Negativo,0.963,Plasma
Triplo Negativo,0.98,Plasma
Triplo Negativo,0.923,Plasma
Triplo Negativo,0.974,Plasma
Triplo Negativo,0.976,Plasma
Triplo Negativo,0.975,Plasma
Triplo Negativo,0.975,Plasma
Triplo Negativo,0.988,Plasma
Triplo Negativo,0.977,Plasma
Triplo Negativo,0.979,Plasma
Triplo Negativo,0.9,Plasma
Triplo Negativo,0.979,Plasma
Triplo Negativo,0.978,Plasma
Triplo Negativo,0.939,Plasma
Triplo Negativo,0.935,Plasma
Triplo Negativo,0.974,Plasma
Triplo Negativo,0.914,Plasma
Triplo Negativo,0.91,Plasma
Triplo Negativo,0.953,Plasma
Triplo Negativo,0.978,Plasma
Triplo Negativo,0.974,Plasma
HER2,0.668,Tumor
HER2,0.659,Tumor
HER2,0.659,Tumor
HER2,0.659,Tumor
HER2,0.666,Tumor
HER2,0.62,Tumor
HER2,0.668,Tumor
HER2,0.693,Tumor
HER2,0.693,Tumor
HER2,0.693,Tumor
HER2,0.693,Tumor
HER2,0.757,Tumor
HER2,0.757,Tumor
HER2,0.757,Tumor
HER2,0.757,Tumor
HER2,0.788,Tumor
HER2,0.789,Tumor
HER2,0.788,Tumor
HER2,0.732,Tumor
HER2,0.732,Tumor
HER2,0.655,Tumor
HER2,0.655,Tumor
HER2,0.646,Tumor
HER2,0.646,Tumor
HER2,0.646,Tumor
HER2,0.646,Tumor
HER2,0.646,Tumor
HER2,0.665,Tumor
